#,geo_country,unique_songs,unique_artists,total_plays,download_rate,favorite_rate,playlist_rate,repost_rate
1,NG,43692,16867,4921728863,0.1943,0.0046,0.0106,0.0003
2,GH,12605,4635,1103037822,0.3144,0.0063,0.0252,0.0003
3,US,20239,6993,984556737,0.0853,0.0127,0.0186,0.0002
4,JM,4037,1030,286628266,0.1740,0.0036,0.0109,0.0002
5,TZ,2055,944,124558960,0.3162,0.0041,0.0203,0.0002
6,HT,2050,784,91253226,0.1882,0.0101,0.0126,0.0002
7,PH,1555,815,49377898,0.2625,0.0079,0.0187,0.0003
8,CA,2082,757,39021694,0.0718,0.0056,0.0095,0.0001
9,GB,1670,979,34342935,0.0897,0.0067,0.0140,0.0003
10,SN,706,217,33445101,0.2770,0.0084,0.0144,0.0002
11,SL,862,435,31111354,0.2222,0.0077,0.0208,0.0003
12,TT,648,219,28604543,0.1577,0.0053,0.0133,0.0002
13,ZW,752,258,22721545,0.2638,0.0043,0.0123,0.0002
14,XK,789,291,22111659,0.1009,0.0047,0.0051,0.0001
15,LR,686,316,20862957,0.4836,0.0146,0.0237,0.0004
16,CN,329,57,20633714,0.0273,0.0221,0.0352,0.0005
17,PR,470,239,16869039,0.0400,0.0173,0.0092,0.0001
18,ML,745,120,16408010,0.3535,0.0127,0.0154,0.0002
19,MX,484,268,15504436,0.2053,0.0096,0.0134,0.0003
20,BJ,522,271,15401411,0.1959,0.0037,0.0092,0.0002
21,RW,438,195,12880583,0.2111,0.0060,0.0216,0.0002
22,GY,324,129,11806815,0.1362,0.0048,0.0102,0.0002
23,DO,545,267,11486789,0.1397,0.0061,0.0075,0.0002
24,IN,821,220,11391963,0.0922,0.0071,0.0061,0.0002
25,CM,436,263,10871533,0.1430,0.0032,0.0097,0.0002
26,AL,465,185,8997114,0.1397,0.0055,0.0059,0.0002
27,KE,302,168,7444709,0.2758,0.0074,0.0257,0.0003
28,GM,268,92,7441991,0.2890,0.0150,0.0158,0.0002
29,BB,248,120,6414398,0.1140,0.0052,0.0139,0.0002
30,UG,235,147,5745827,0.2578,0.0060,0.0316,0.0002
31,FR,327,188,5044200,0.2227,0.0082,0.0162,0.0002
32,GR,326,69,4821958,0.0625,0.0138,0.0043,0.0006
