#,music_id,song_name,artist_name,total_plays,total_downloads,download_play_ratio
1,1,Have Mercy,Shane Eli,207866,7207622,34.6744
2,23455165,Pluto,Shallipopi,3990,42318,10.6060
3,37403686,Joy is coming,Fido,5976,35935,6.0132
4,32475125,APartii,Combosman X Togman,9612,40354,4.1983
5,31809979,juju,Big smur lee,32581,132987,4.0817
6,25993243,puff and pass,Shalipopi,11088,44981,4.0567
7,26325473,Medicine after death,Mohbad,4019,16303,4.0565
8,29326228,Twe Twe (remix),Kizz Daniel,8614,34749,4.0340
9,44252816,Feel D Mood Bolt Man,Uzama Osahon,5790,23145,3.9974
10,27987741,APALA,Seyi vibez,4827,18701,3.8742
