"artist","title","geo_country","plays","engagements"
"Erma","DYANA","NG","111633","793"
"Vybz Kartel","God is The Greatest","GH","187446","764"
"Siicie & Lasmid","Do You Know?","GH","91479","655"
"Mitski","My Love Mine All Mine","US","11066","652"
"Dxtiny","Uncle Pele","NG","189738","482"
"TheFeyiii & Boy Muller","Forex Boys","NG","88281","394"
"Siicie & Lasmid","Do You Know?","NG","64933","385"
"Fido","Awolowo","NG","177516","379"
"Siicie","Alhamdulillah","GH","37243","368"
"Inès Raguël","Je Tombe","NG","83076","317"
"Dxtiny","Babcock","NG","60142","215"
"Peeray","Remember","NG","37141","192"
"Squash","Know Bout Dat","JM","27479","180"
"Kvng Vinci & Zerrydl","HAUSAPIANO (Remix)","NG","66357","179"
"Julie Doiron","August 10","US","14896","177"
"Erma","DYANA","GH","25003","174"
"Siicie","Alhamdulillah","NG","23714","159"
"Taken","Para","NG","20974","154"
"Fido","Awolowo (Remix)","NG","39131","143"
"Mitski","My Love Mine All Mine","PH","5548","139"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","NG","31286","138"
"Eyedress","Jealous","US","10634","134"
"Vybz Kartel","God is The Greatest","JM","25242","120"
"Tay Iwar","Reflection Station","NG","22950","117"
"Elgit Doda & Noizy","Vetes ja bom ne","AL","13897","109"
"Saint Lamaar","BUSS AT YOU","US","8069","109"
"Rich Homie Quan","Type of Way","US","9633","104"
"Chronic Law","One Life","JM","6021","103"
"Squash","Like This","JM","9105","101"
"Mac DeMarco","For the First Time","US","6919","98"
"C Stunna & Real Boston Richey","Lose Control","US","9247","93"
"Doncarta","Chance","NG","10509","90"
"RajahWild & Cash Code","Planet To Planet","JM","34125","87"
"4Block Lil Mari","No Sleep","US","6143","80"
"Squash","Know Bout Dat","US","4996","80"
"Mac DeMarco","My Kind of Woman","US","6556","79"
"Faye Webster","Kingston","US","5465","78"
"Viqtorioz feat. Shakkar","Cosign","GH","7733","77"
"Inès Raguël","Je Tombe","GH","14256","77"
"Mac DeMarco","Chamber Of Reflection","US","4716","75"
"Viqtorioz feat. Shakkar","Cosign","NG","7674","71"
"Vybz Kartel","God is The Greatest","NG","13463","68"
"Rich Homie Quan feat. Problem","Walk Thru (feat. Problem)","US","6493","67"
"Vybz Kartel","Viking (Vybz Is King): 10th Year Anniversary","GH","0","66"
"Eddy G Bomba & Cash Code","Luigi","JM","29560","65"
"DJ Chose","Know My Worth","US","4782","65"
"Anodaboy","Mon Bébé","NG","6328","64"
"Vybz Kartel","Amout","GH","9628","64"
"JJ DOOM, MF DOOM, Jneiro Jarel","Key to the Kuffs","JM","0","64"
"Vybz Kartel","Str8 Vybz","GH","11232","63"
"FAVE","N.B.U","NG","19000","62"
"Rich Homie Quan","I Fuck wit You Girl","US","7122","61"
"Vybz Kartel","Dreams Are Made Of","GH","15610","57"
"Inès Raguël","Je Tombe","TZ","23807","56"
"Vybz Kartel","God is The Greatest","US","14815","56"
"Malie Donn","Mr. President","JM","4187","55"
"Kash Doll","Kash Kommandments","US","2558","55"
"C Stunna","240","US","6036","54"
"Limoblaze","Calling (Bless Me)","NG","6292","53"
"Tekno","Wash","NG","15171","51"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","GH","8127","51"
"Vybz Kartel","It A Tape","GH","8073","50"
"Vybz Kartel","Unstoppable","GH","7584","48"
"Danfo Drivers","Danfo Driver (Hip Hop Mix)","NG","6037","47"
"Eyedress","Romantic Lover","US","4096","47"
"Faye Webster","In A Good Way","US","3820","47"
"Dxtiny, Tension","Sew-Tape","NG","13837","46"
"Peeray","Remember","GH","6953","45"
"very cool tutorials","Trap Royalty","US","2840","45"
"Mac DeMarco","Moonlight on the River","US","3186","45"
"Ayetian","Bagga Rrr","TT","11769","45"
"Dafina Zeqiri & Lumi B","Flaken vet ja dhe","DE","190","44"
"Dj Spark Fire","Throwback Naija Mixtape (DJ Mix)","NG","3722","43"
