"music_id_raw","artist","title","latest_distributor_name"
"music:61401185","Dalia","What if","Audiosalad Direct"
"music:13852656","Madlib","Dil Cosby Interlude","Audiosalad Direct"
"music:56684604","PF Xavi","Not Ready","Audiosalad Direct"
"music:32374254","William McDowell","Never Going Back (I Won't Go Back Reprise)","Audiosalad Direct"
"music:56252684","Jodie Marie ASMR","Black Country Maid Cleans you up Pt.3","Audiosalad Direct"
"music:49483770","Spookyli","Fried","Audiosalad Direct"
"music:58169637","Soothing Piano Melodies & Schlaflieder Für Kinder & Ivory Mood","Soothing Piano for Better Sleep","Audiosalad Direct"
"music:54999714","bashexx","introvert","Audiosalad Direct"
"music:41954644","D.Meletis","Pucci All Themes (From 'Stone Ocean Part 3') (Epic Version)","Audiosalad Direct"
"music:33905907","Chill Energy & Lofi For Energy & Energetic Upbeat Lofi","Upbeat Energy","Audiosalad Direct"
"music:59079831","Lullaby Players","Pink Skies (Instrumental)","Audiosalad Direct"
"music:64387177","pluvia & Stormour","Dusk Universe Enlightenment","Audiosalad Direct"
"music:34860470","Solfeggio Frequencies, Hz Frequency Zone, Chakra Frequencies","528 Hz Positive Vibrations","Audiosalad Direct"
"music:56202219","Tony Bomboni","Kylie Jenner's Sassy Personal Assistant (ASMR RolePlay)","Audiosalad Direct"
"music:36813733","Olivet Oakland","God‘s Got It (Remastered) (Live)","Audiosalad Direct"
"music:36750664","Lonnie Hunter and Structure","Wade In The Water","Audiosalad Direct"
"music:56358366","Kofi Akeman","Fine Fine Baby (Freestyle)","Audiosalad Direct"
"music:36306596","Lynn Cinnamon ASMR","Sparkle Crinkle Pages Pt.2","Audiosalad Direct"
"music:62330474","Thee Sinseers & Joey Quinones","Like I Can Give (Instrumental)","Audiosalad Direct"
"music:37601377","Gospel Enforcers","Praise The Lord","Audiosalad Direct"
"music:38609128","TingleStorm ASMR","Hearing Test, but You CAN Close Your Eyes Pt.2","Audiosalad Direct"
"music:35452296","Braille, Ohmega Watts, Surreal, DJ Idull","Pass the Mic to Theory Hazit","Audiosalad Direct"
"music:37601561","Gold Heart","Summertime","Audiosalad Direct"
"music:56091328","hemiptera exodus","Auchenorrhyncha","Audiosalad Direct"
"music:35997338","Mansion Accompaniment Tracks","I Will Glory in the Cross (Traditional Arrangement) (Accompaniment Track)","Audiosalad Direct"
"music:56720427","Rafael Lumina","Dança dos Primos","Audiosalad Direct"
"music:49426086","Parminder Sandhu","Meri Behn Da Deor","Audiosalad Direct"
"music:58950144","Country Gospel Music","Moonlight Serenade on the Range","Audiosalad Direct"
"music:52331670","Tunes Dog","Frisky Dog","Audiosalad Direct"
"music:59737336","Sinan Vllasaliu & Besniket","Sdo Tkem Nuse","Audiosalad Direct"
"music:50734547","Pitch Hammer & Michelle Richards","Stomp Clap","Audiosalad Direct"
"music:45798292","Eiem feat. Creyente.7, Leandro Caamaño, Nico Castro & Dozer","DUNAMIS","Audiosalad Direct"
"music:34740989","Guitar Instrumentals & Relaxing Acoustic Guitar & Chill Guitar Music","Coastal Cliffs Canticle","Audiosalad Direct"
"music:65472799","Jlm","Come Into My Life","Audiosalad Direct"
"music:46281324","Weihnachtslieder Collection & Kinderweihnacht & Weihnachts Lieder","Silver Angels Come to Disappear","Audiosalad Direct"
"music:63301027","coke the bear","Snow Algebra","Audiosalad Direct"
"music:28100624","Various Artists","Festival Vogosca 2009","Audiosalad Direct"
"music:46315082","Zen Zone","gravity of love","Audiosalad Direct"
"music:56179105","Erikgonzalez","Warm N Fuzzy","Audiosalad Direct"
"music:59674611","Fukkit","Change Your Mind","Audiosalad Direct"
"music:36434272","White Noise Radiance","Sounds of a Lake","Audiosalad Direct"
"music:34959228","Jennie Abrahamson","Snowstorm","Audiosalad Direct"
"music:36767011","Charlie Bommarito","Down San Diego Way","Audiosalad Direct"
"music:40267603","Mammoth","Lug","Audiosalad Direct"
"music:33164899","Buddy Guy","This Is the End (Take 3)","Audiosalad Direct"
"music:53616967","sentynal","LOVE // СОЖГИ ФЕВРАЛЬ","Audiosalad Direct"
"music:32749316","Hilary Woods","Birthmarks","Audiosalad Direct"
"music:56168446","hatetheos","Violence is key","Audiosalad Direct"
