"source_tab","section","event_count"
"My Library","My Library - Offline","204009819"
"Search","Search - All Music","102970150"
"Search","Queue End Autoplay","55581117"
"Browse","Browse - Recommendations","45211776"
"My Library","My Library - Favorites","19003309"
"My Library","My Library - Playlists","17595814"
,"My Library - Offline","9006832"
"My Library","Restore Downloads","8783587"
"Search","Profile - Top Songs","7121228"
"Browse","Queue End Autoplay","5600846"
"Charts","Charts - Top Songs","5478780"
,"Song Page","5390218"
"Browse","Browse - Trending Songs","5239295"
"Search","Search - Top Songs","4787568"
"Browse","Browse - Playlists You Might Like Playlists","4743568"
"Search","Search - Albums","4591371"
"Browse","Browse - Offline Music","4451779"
"My Library","Queue End Autoplay","3980282"
"Search","Search - Playlists","3831623"
"Search","Search - Songs","3788058"
,"Search - All Music","3380532"
"My Library","My Library - Recently Played","3315352"
"Feed","Feed - Timeline","2786440"
"Browse","Browse - Trending Albums","2120022"
,"/search","2036135"
,,"1835752"
"My Library","My Library Search - Offline","1770237"
"Search","Profile - Recent Albums","1729376"
"Browse","Profile - Top Songs","1707204"
"My Library","My Library - Mix Stations","1591972"
"Search","Profile - Highlights","1586835"
"Charts","Charts - Top Playlists","1200199"
,"Queue End Autoplay","1065524"
"Search","Search - Top Albums","1031684"
"Search","Sponsored Songs - Queue End Autoplay","992991"
,"Browse - Recommendations","878155"
"Search","Search - Trending","834408"
,"Playlist Page","831252"
"Charts","Queue End Autoplay","729359"
"My Library","Profile - Top Songs","704297"
"Browse","Deeplink","652823"
,"Search - Top Songs","626236"
"Browse","Profile - Highlights","570206"
"Browse","Browse - Mix Stations","567557"
,"Browse - Offline Music","560769"
"Search","Playlists - Afrosounds","553144"
,"Album Page","548226"
"Browse","Player - Radio","501211"
"Search","Player - Radio","481506"
"Browse","Profile - Recent Albums","481179"
,"Deeplink","473002"
"Charts","Charts - Top Albums","458928"
"Browse","Sponsored Songs - Queue End Autoplay","374047"
"Playlists","Playlists - Your Playlists","374001"
"My Library","Player - Radio","368615"
"Search","Profile - Playlists","323582"
"My Library","Profile - Playlists","286274"
"Feed","Profile - Top Songs","275878"
"Browse","Player - More from artist","273449"
"Feed","Queue End Autoplay","272760"
