"artist","total_users","total_plays","total_engagements","engagements_per_user"
"Grizzy B.","2","121","19","9.5"
"Aoki Nozomi","6","340","54","9.0"
"wizzysavage","48","955","382","7.958333333333333"
"I'm КʼЮ","3","119","21","7.0"
"9000UK","10","106","64","6.4"
"RF Dur","33","133","200","6.0606060606060606"
"Jayden Gray","3","302","18","6.0"
"RapVids.Net","256","509","1443","5.63671875"
"Krastputin","7","786","39","5.571428571428571"
"Ceekah","2","166","10","5.0"
"lilvandrei","6","157","30","5.0"
"hlukzindadeejayhlulani","1","223","5","5.0"
"Temide Cole","6","113","28","4.666666666666667"
"NCD POWER","8","101","36","4.5"
"luma de king","21","449","90","4.285714285714286"
"Ijoba Ten Ten","153","782","654","4.2745098039215685"
"Hasny Sweety","63","732","254","4.031746031746032"
"BtgTerry","4","104","16","4.0"
"Blaq Flit","20","423","80","4.0"
"2400Arab","3","126","12","4.0"
"Revelation Dotty","6","136","22","3.6666666666666665"
"Knifer Cate","15","144","54","3.6"
"IMF Scoto","2","103","7","3.5"
"DEL VEGA","16","233","54","3.375"
"Alvie Brown","6","137","20","3.3333333333333335"
"HaXeR","8","640","26","3.25"
"Quis Money","15","133","48","3.2"
"CTF Bird","11","310","35","3.1818181818181817"
"Stimpy Music","3","102","9","3.0"
"Anonymous_Deviant","10","177","30","3.0"
"Brana$","2","104","6","3.0"
"OG4SHO","4","134","12","3.0"
"Wildboy Soulj","4","101","12","3.0"
"Jeppe Reil Sorensen","2","101","6","3.0"
"Brikkbbytino","4","352","12","3.0"
"Yung Kodyy","32","110","95","2.96875"
"Sky prince nts","123","460","351","2.8536585365853657"
"WAKIDE","67","403","186","2.7761194029850746"
"mini_godwin","37","116","99","2.675675675675676"
"Beguy","3","284","8","2.6666666666666665"
"JAY VINTS THE BLACK BOY GRIOT  24","7","113","18","2.5714285714285716"
"Xerogangg","7","109","18","2.5714285714285716"
"KING SHAZZY 👑🎙️🎙️","26","107","66","2.5384615384615383"
"theMeatly","28","335","67","2.392857142857143"
"Timtheone","3","205","7","2.3333333333333335"
"Trïp","3","140","7","2.3333333333333335"
"Diseno De Guerrero","29","172","67","2.310344827586207"
"LMC SANTOS","10","552","23","2.3"
"Slirty Carti","17","150","38","2.235294117647059"
"adoremos.net","13","657","29","2.230769230769231"
"MEEKEST BEN","15","160","33","2.2"
"R-D khalif 💔✔️","5","571","11","2.2"
"Vezinoskiss","14","114","30","2.142857142857143"
"bright lord","23","207","49","2.130434782608696"
"manzier","91","196","188","2.065934065934066"
"OG White","18","233","37","2.0555555555555554"
"JD9Lives","5","187","10","2.0"
"BanditCgb","2","355","4","2.0"
"Fckbundles","2","236","4","2.0"
"Wersly cool","5","109","10","2.0"
"ABBELINCO BANDLAB ARTIST TO BAD","12","161","24","2.0"
"Vinismith","169","565","331","1.9585798816568047"
"Kidd shedrack","47","360","88","1.872340425531915"
"Babert","7","113","13","1.8571428571428572"
"Masaraty","53","357","98","1.849056603773585"
"Kidflow Beats","20","963","36","1.8"
"Damyc","14","206","25","1.7857142857142858"
"Junior Rockittup, Ricco. Detarrius","9","111","16","1.7777777777777777"
"Okmic","4","102","7","1.75"
"King Snazzy","51","267","89","1.7450980392156863"
"Alphi Lexy","94","152","164","1.7446808510638299"
"Emo X Breezy","17","197","29","1.7058823529411764"
"Adagbarenyi","16","110","27","1.6875"
"Rona","15","103","25","1.6666666666666667"
"ashlei","6","102","10","1.6666666666666667"
"Napoleon Da Legend","161","355","265","1.6459627329192548"
"100Kel","13","280","21","1.6153846153846154"
"WI$3","5","243","8","1.6"
"Junior Rockittup, Carrion","10","113","16","1.6"
"Junior Rockittup, T-Rhyt","10","110","16","1.6"
"Kreed","49","521","77","1.5714285714285714"
"Qarye","63","343","95","1.507936507936508"
"BeezyM1Beats","6","120","9","1.5"
"Charlie T","13","306","19","1.4615384615384615"
"Olivier Deriviere","24","181","35","1.4583333333333333"
"Myster Mick","7","114","10","1.4285714285714286"
"Jtoolz","20","124","28","1.4"
"JAY RHYMES","5","136","7","1.4"
"Kween Liv","5","106","7","1.4"
"JJ DOOM, MF DOOM, Jneiro Jarel","49","162","68","1.3877551020408163"
"McLeanboy","31","133","43","1.3870967741935485"
"Lisanjala FAM","13","258","18","1.3846153846153846"
"Mickey Rhymes","85","140","117","1.3764705882352941"
"CODED DC","32","227","44","1.375"
"Zahra Kafana Dende","206","667","283","1.3737864077669903"
"Shegzy money","11","121","15","1.3636363636363635"
"peace.OV","38","300","51","1.3421052631578947"
"REVSTONE","21","151","28","1.3333333333333333"
"SabiguyRomileesky","3","118","4","1.3333333333333333"
"Quest Ayo","3","127","4","1.3333333333333333"
