"artist","plays","unique_listeners","favorites","shares","country_count","play_growth_pct","listener_growth_pct","fav_per_listener","share_per_listener","momentum_score"
"Georgeampe","51279","40701","52","0","192","5127800.0","4070000.0","0.0013","0.0","3272216.02"
"Mama Tina","57395","272","12","0","49","5739400.0","27100.0","0.0441","0.0","2303915.16"
"Fabio","13614","11878","48","0","136","1361300.0","1187700.0","0.004","0.0","900898.06"
"Gidzeey and  DJ Priice2x","14267","246","8","0","14","1426600.0","24500.0","0.0325","0.0","577997.49"
"keith hayden","6538","5930","21","0","29","326800.0","592900.0","0.0035","0.0","308604.55"
"Qusay","36153","63","0","0","45","722960.0","1160.0","0.0","0.0","289554.5"
"PLUTO, YKNIECE","5588","2063","299","0","48","558700.0","206200.0","0.1449","0.0","285366.17"
"Coiffeur","5860","5227","12","0","139","292900.0","522600.0","0.0023","0.0","274009.53"
"Adiaba","13202","18","7","0","6","660000.0","800.0","0.3889","0.0","264248.83"
"Lrt","6735","6670","5","0","115","84087.5","666900.0","7.0E-4","0.0","233762.51"
