"table_schema","table_name"
"dw01","listener_playlist_interactions_daily_v001"
"dw01","listener_top_playlists_daily_v002"
"dw01","listener_top_playlists_v002"
"dw01","playlist"
"dw01","playlist_favorite"
"dw01","playlist_favorite_hist"
"dw01","playlist_favorite_hist_v001"
"dw01","playlist_geo_music_interactions_daily_v001"
"dw01","playlist_hist"
"dw01","playlist_hist_v001"
"dw01","playlist_music_performance_weekly"
"dw01","playlist_music_performance_weekly_v001"
"dw01","playlist_performance_weekly"
"dw01","playlist_performance_weekly_v001"
"dw01","playlist_performance_weekly_v002"
"dw01","playlist_play_daily"
"dw01","playlist_play_daily_v001"
"dw01","playlist_track_add_v001"
"dw01","playlist_tracks"
"dw01","playlist_tracks_hist"
"dw01","playlist_tracks_hist_v001"
