"artist","geo_country","total_events","plays"
"Vybz Kartel","GH","523079","262940"
"Dxtiny","NG","483049","249880"
"Fido","NG","427256","220781"
"Erma","NG","217735","111633"
"Squash","JM","191775","96740"
"Siicie & Lasmid","GH","181687","91479"
"TheFeyiii & Boy Muller","NG","185556","88281"
"Tekno","NG","166906","85045"
"Inès Raguël","NG","133727","83076"
"Vybz Kartel","JM","135484","73707"
"Kvng Vinci & Zerrydl","NG","131711","66357"
"Siicie & Lasmid","NG","130038","64933"
"Rich Homie Quan","US","110563","61701"
"Buta","XK","99823","57923"
"Ruth B. & Dean Lewis","NG","79877","37578"
"Siicie","GH","63854","37243"
"Peeray","NG","77298","37141"
"RajahWild & Cash Code","JM","65114","34125"
"Kuami Eugene","GH","66282","33665"
"Vybz Kartel","US","61849","33502"
"Aminu Ladan Alan Waka","NG","65223","32003"
"Mac DeMarco","US","58245","31320"
"Tay Iwar","NG","51353","29651"
"Eddy G Bomba & Cash Code","JM","52858","29560"
"92Legend","NG","61812","29158"
"Runtown","NG","58053","28970"
"Danfo Drivers","NG","55499","27614"
"Mitski","US","49135","25338"
"Erma","GH","45915","25003"
"Inès Raguël","TZ","38799","23807"
"Siicie","NG","46421","23714"
"YFN Lucci","US","43352","23453"
"Malie Donn","JM","42211","22243"
"Montana 700 & Zillionaire Doe","US","40294","22032"
"Taken","NG","21183","20974"
"Faye Webster","US","38084","20926"
"FAVE","NG","38293","19000"
"Jamal","JM","34033","17877"
"LilBenny","US","33308","17852"
"Vybz Kartel","NG","32374","17482"
"Qdot, DjFaya","NG","35524","17462"
"Jamal & Cash Code","JM","33514","17346"
"Squash","US","34063","17331"
"Eyedress","US","30643","16944"
"Dxtiny","GH","30702","16660"
"Tommy Lee Sparta feat. Attomatic & Dan Sky","JM","31620","16201"
"Raw Cashh & Troublemekka","JM","28983","16195"
"Ai Milly","JM","30685","15654"
"Julie Doiron","US","27863","15393"
"Ayetian","JM","28955","15278"
"Ai Milly   & Darmain Stiile","JM","29936","15250"
"Matolale","AL","28008","15017"
"Jahmiel","GH","30321","14948"
"Chronic Law","JM","30056","14355"
"Tekno","GH","28079","14320"
"Inès Raguël","GH","21083","14256"
"Squash","TT","27492","14195"
"Nura M Inuwa","NG","27367","14146"
"Elgit Doda & Noizy","AL","30852","13897"
"Dxtiny, Tension","NG","24967","13837"
"Freestyle Beats and Instrumentals & Hip Hop Beats & The Hip Hop Nation","NG","23507","13633"
"Dj Spark Fire","NG","30718","13265"
"Fido","GH","24822","13179"
"Dafina Zeqiri","XK","22450","12997"
"Anti Da Menace","US","23528","12980"
"Xlimkid","GH","28107","12574"
"Ayetian","TT","23035","12134"
"Ice Prince ","NG","23380","11982"
"Vybz Kartel","GY","20886","11578"
"DJ Kaywise & Phyno","NG","21054","11015"
"KiDi","GH","23254","10898"
"Finem","XK","18784","10729"
"Squash","GY","20013","10579"
"Doncarta","NG","20792","10509"
"Squash","BB","20338","10464"
"Chief Keef","US","18025","10320"
"Lil Tjay","NG","20288","10275"
"The Holy Quran","NG","19603","10106"
"Bway Yungy","US","18616","10062"
"Westhanboyz","NG","20206","9909"
"Limoblaze","NG","20502","9762"
"Finem","AL","17427","9754"
"Ruth B. & Dean Lewis","GH","20460","9726"
"Elinel","XK","16500","9583"
"R2Bees","GH","18726","9548"
"New free instrumental beat","NG","15776","9372"
"MF DOOM","US","16859","9307"
"C Stunna & Real Boston Richey","US","16400","9247"
"C Stunna","US","16244","9154"
"Velvet Ribbon & Robin Firelight & Gingerbread Sparks","NG","15825","9071"
"Vybz Kartel","GB","16411","8993"
"Fat Joe & Lil Wayne","NG","17658","8984"
"Artur","AL","15733","8908"
"Vybz Kartel","CA","15988","8668"
