"artist","title","latest_distributor_name","total_plays","total_engagements","unique_users","geo_country","geo_region"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","158205","612","87573","GH","AA"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","75777","521","47796","GH","AA"
"Erma","DYANA","Audiosalad Direct","39675","292","25884","NG","LA"
"Siicie","Alhamdulillah","Audiosalad Direct","29751","272","18803","GH","AA"
"Fido","Awolowo","Audiosalad Direct","78765","180","65440","NG","LA"
"Dxtiny","Uncle Pele","Audiosalad Direct","63915","164","42338","NG","LA"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","22553","143","14019","NG","LA"
"Erma","DYANA","Audiosalad Direct","22121","139","14656","NG","FC"
"TheFeyiii & Boy Muller","Forex Boys","Audiosalad Direct","30338","139","12670","NG","LA"
"Inès Raguël","Je Tombe","Audiosalad Direct","31491","138","27568","NG","LA"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","25300","131","17391","GH","AH"
"Erma","DYANA","Audiosalad Direct","20244","131","14935","GH","AA"
"Siicie & Lasmid","Do You Know?","Audiosalad Direct","14391","118","10786","GH","AH"
"Dxtiny","Uncle Pele","Audiosalad Direct","36976","101","25181","NG","FC"
"Erma","DYANA","Audiosalad Direct","10427","100","7275","NG","OY"
"Squash","Know Bout Dat","Audiosalad Direct","13995","93","6352","JM","01"
"Erma","DYANA","Audiosalad Direct","14896","90","9166","NG","RI"
"Siicie","Alhamdulillah","Audiosalad Direct","6824","89","4265","GH","AH"
"Mitski","My Love Mine All Mine","Audiosalad Direct","1597","87","520","US","TX"
"Taken","Para","Audiosalad Direct","11528","78","59","NG","LA"
"Elgit Doda & Noizy","Vetes ja bom ne","Audiosalad Direct","11484","76","3070","AL","11"
"Dxtiny","Uncle Pele","Audiosalad Direct","28219","75","19593","NG","RI"
"Peeray","Remember","Audiosalad Direct","11962","72","7230","NG","LA"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","Audiosalad Direct","13641","72","10043","NG","LA"
"TheFeyiii & Boy Muller","Forex Boys","Audiosalad Direct","12877","70","5261","NG","RI"
"Dxtiny","Babcock","Audiosalad Direct","21271","69","6769","NG","LA"
"Vybz Kartel","God is The Greatest","Audiosalad Direct","12849","67","7951","JM","01"
"Siicie","Alhamdulillah","Audiosalad Direct","8244","66","6790","NG","LA"
"Mitski","My Love Mine All Mine","Audiosalad Direct","854","64","416","US","CA"
"JJ DOOM, MF DOOM, Jneiro Jarel","Key to the Kuffs","Audiosalad Direct","0","64","1","JM","14"
"TheFeyiii & Boy Muller","Forex Boys","Audiosalad Direct","16288","63","7114","NG","FC"
"Fido","Awolowo","Audiosalad Direct","27566","62","23685","NG","FC"
