"table_schema","table_name"
"adhoc","bi01_playlist_interactions_daily_pre_delete_20250327"
"adhoc","favorite_playlist_counts_shadow"
"adhoc","favorite_playlist_shadow"
"adhoc","playlist_banners_daily_backup_2024_10_11t002503_0000_slots_0_174_10_1_7_92_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_10880_13106_10_1_6_111_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_1216_3276_10_1_6_196_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_14231_16383_10_1_7_73_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_175_467_10_1_6_133_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_4773_6553_10_1_6_181_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_719_940_10_1_7_123_slave_rdb_json_bz2"
"adhoc","playlist_banners_daily_backup_2024_10_11t002504_0000_slots_7947_9829_10_1_6_164_slave_rdb_json_bz2"
"adhoc","playlist_banners_shadow"
"adhoc","playlist_charts_test_20240923"
"adhoc","playlist_favorite_shadow"
"adhoc","playlist_features_20230518"
"adhoc","playlist_features_20230522"
"adhoc","playlist_image_match_20220310"
"adhoc","playlist_images"
"adhoc","playlist_images_shadow"
"adhoc","playlist_images_tbl"
"adhoc","playlist_membership"
"adhoc","playlist_music_shadow"
"adhoc","playlist_music_vector_20230522"
"adhoc","playlist_music_vocab_20230522"
"adhoc","playlist_shadow"
"adhoc","playlist_similarity_20230522"
"adhoc","playlist_tags_shadow"
"adhoc","playlist_tracks_shadow"
"adhoc","temp_playlist_features_20230502"
"adhoc","temp_playlist_features_20230502_2"
"adhoc","temp_similar_playlists_20230423"
"adhoc","temp_similar_playlists_20230423_b"
"adhoc","temp_similar_playlists_20230423_c"
"adhoc","temp_similar_playlists_20230423_d"
"adhoc","temp_similar_playlists_20230423_e"
"adhoc","temp_similar_playlists_20230423_f"
"adhoc","temp_similar_playlists_20230423_g"
"adhoc","temp_similar_playlists_20230423_h"
"adhoc","temp_similar_playlists_20230423_j"
"adhoc","temp_similar_playlists_20230423_k"
"adhoc","temp_similar_playlists_20230423_m"
"adhoc","temp_similar_playlists_20230423_n"
"adhoc","temp_similar_playlists_20230423_o"
