"artist","plays","unique_listeners","favorites","shares","country_count","play_growth_pct","listener_growth_pct","fav_per_listener","share_per_listener","momentum_score"
"Siicie & Lasmid","1449421","843778","9857","0","217","1.44942E8","8.43777E7","0.0117","0.0","8.329021868E7"
"Ruger and COLORS","952981","491220","5238","0","188","9.5298E7","4.91219E7","0.0107","0.0","5.285586416E7"
"jomapelyankee","251679","478","127","0","18","2.51678E7","47700.0","0.2657","0.0","1.008144299E7"
"Kixx Alphah & Cojo Rae","130783","86570","990","0","155","1.30782E7","8656900.0","0.0114","0.0","7828427.67"
"DJ Bandz & YTB Fatt","47873","26268","674","0","183","4787200.0","2626700.0","0.0257","0.0","2702981.88"
"Mama Tina","57397","272","13","0","49","5739600.0","27100.0","0.0478","0.0","2303995.22"
"Randy Kirton","33535","25787","28","0","185","3353400.0","2578600.0","0.0011","0.0","2115032.52"
"Nikey 20, Luckay Buckay","87341","52560","1097","0","148","1091662.5","5255900.0","0.0209","0.0","2013509.31"
"sethlo, Toofan","38232","15437","322","0","37","3823100.0","1543600.0","0.0209","0.0","1992338.81"
"Chief Priest","762327","341513","5538","0","170","3049208.0","2276653.33","0.0162","0.0","1902764.44"
