"artist_id","artist_name","song_name","geo_country","num_plays","total_play_30s","num_favorites","num_reposts","num_comments","num_downloads","num_playlist_adds","num_searches","geo_reach"
"64416568","Lelo","Limbless","US","15719","21792","233","4","0","437","459","0","67"
"127921840","Baby Osamaa","See It Different","US","11584","85","94","4","0","206","249","0","176"
"127921840","Baby Osamaa","See It Different","US","11584","10195","94","4","0","206","249","0","176"
"64416568","Lelo","On The Wall","US","10942","13974","285","3","0","588","337","0","67"
"64416568","Lelo","Pot Of Greed","US","8363","15574","192","0","0","514","434","0","67"
"64416568","Lelo","No contempt","US","7930","26578","130","1","0","280","343","0","67"
"75512784","Brazy","Attends","GH","7317","1416","50","4","0","2737","64","0","57"
"75512784","Brazy","Attends","GH","7317","27904","50","4","0","2737","64","0","57"
"64416568","Lelo","Perfect Blue","US","7303","8183","146","2","0","303","220","0","67"
"64416568","Lelo","Pot Of Greed","NG","7027","15574","115","0","0","392","168","0","67"
"127921840","Baby Osamaa","Double D's","US","6962","4952","57","0","0","97","109","0","176"
"127921840","Baby Osamaa","Double D's","US","6962","28","57","0","0","97","109","0","176"
"127921840","Baby Osamaa","What's The Word","US","6025","4822","69","0","0","115","120","0","176"
"127921840","Baby Osamaa","What's The Word","US","6025","59","69","0","0","115","120","0","176"
"64416568","Lelo","On The Wall","NG","5713","13974","68","0","0","693","119","0","67"
"71552954","ffawty","HOLLABACK GIRL","US","5138","4671","136","2","0","374","206","0","175"
"71552954","ffawty","CHOP","US","4730","4464","90","1","0","376","143","0","175"
"79107839","Niontay","MR.HAVEMYWAY","US","4421","304","27","1","0","79","91","0","176"
"79107839","Niontay","MR.HAVEMYWAY","US","4421","4238","27","1","0","79","91","0","176"
"108236416","Fimiguerrero","my bad bro","GB","3722","5033","31","0","0","189","66","0","60"
"79107839","Niontay","Mumbleman","US","3718","5812","65","0","0","270","181","0","176"
"64416568","Lelo","2hollis","US","3518","3393","79","3","0","177","148","0","67"
"127921840","Baby Osamaa","I DONT MEAN IT","US","3321","398","51","0","0","125","123","0","176"
"127921840","Baby Osamaa","I DONT MEAN IT","US","3321","31399","51","0","0","125","123","0","176"
"108236416","Fimiguerrero","Designer","NG","3306","9321","29","0","0","299","45","0","60"
"64416568","Lelo","Main Event","US","3241","4647","59","1","0","126","121","0","67"
"109041603","Sk8star","SEX","US","3134","3750","55","2","0","179","156","0","153"
"108236416","Fimiguerrero","MVP","GB","3112","6321","28","0","0","139","43","0","60"
"64416568","Lelo","New Detroit","US","3065","4274","56","1","0","122","88","0","67"
"64416568","Lelo","Chasing","US","3056","8915","48","0","0","105","95","0","67"
"127921840","Baby Osamaa","See It Different","NG","3023","10195","10","0","0","86","92","0","176"
"127921840","Baby Osamaa","See It Different","NG","3023","85","10","0","0","86","92","0","176"
"64416568","Lelo","Pot Of Greed","GH","2735","15574","63","0","0","175","77","0","67"
"64416568","Lelo","Kudos","US","2568","2542","35","0","0","64","91","0","67"
"71552954","ffawty","Dopamine","US","2561","3330","52","1","0","203","98","0","175"
"64416568","Lelo","Perfect Blue","NG","2458","8183","14","0","0","277","126","0","67"
"108236416","Fimiguerrero","my bad bro","US","2456","5033","40","0","0","89","114","0","60"
"64416568","Lelo","On The Wall","GH","2380","13974","46","0","0","315","59","0","67"
"71552954","ffawty","Switch Out The Lens","US","2356","2318","57","0","0","131","35","0","175"
"108236416","Fimiguerrero","Mandy","US","2270","9407","22","0","0","50","72","0","60"
"108236416","Fimiguerrero","Designer","US","2184","9321","37","0","0","254","240","0","60"
"64416568","Lelo","Yoppenheimer","US","2173","4235","45","0","0","63","62","0","67"
"108236416","Fimiguerrero","Tartan","GB","2063","2465","19","1","0","74","47","0","60"
"71552954","ffawty","Camera Light","US","2058","4184","23","0","0","73","21","0","175"
"64416568","Lelo","Hughes","US","1965","748","32","0","0","59","88","0","67"
"64416568","Lelo","Hughes","US","1965","4708","32","0","0","59","88","0","67"
"108236416","Fimiguerrero","Vogue","US","1904","10286","22","0","0","50","104","0","60"
"108236416","Fimiguerrero","Vogue","GB","1903","10286","15","1","0","72","20","0","60"
"108236416","Fimiguerrero","Designer","GB","1861","9321","21","0","0","84","28","0","60"
"108236416","Fimiguerrero","It's Cool","GB","1801","4697","15","0","0","69","36","0","60"
"79107839","Niontay","Mumbleman","NG","1795","5812","32","0","0","120","136","0","176"
"108236416","Fimiguerrero","Excuse My French","GB","1527","4090","18","1","0","59","69","0","60"
"108236416","Fimiguerrero","Excuse My French","GB","1527","3379","18","1","0","59","69","0","60"
"109041603","Sk8star","On God","US","1392","1302","28","0","0","145","61","0","153"
"71552954","ffawty","Winner's Circle","US","1362","1583","20","0","0","73","18","0","175"
