#,month_str,unique_songs,total_plays,download_rate,favorite_rate
1,2023-04,19723,296749194,0.1859,0.0063
2,2023-05,26097,433438893,0.1432,0.0050
3,2023-06,25314,409287750,0.1539,0.0051
4,2023-07,20650,291190895,0.2027,0.0069
5,2023-08,22854,324336447,0.1952,0.0065
6,2023-09,22873,329623842,0.1980,0.0065
7,2023-10,24746,369916905,0.1898,0.0065
8,2023-11,24940,362235739,0.1875,0.0061
9,2023-12,26614,399588966,0.1932,0.0060
10,2024-01,25525,385683603,0.1951,0.0059
11,2024-02,23263,333443551,0.1879,0.0056
12,2024-03,24509,351750156,0.2034,0.0057
13,2024-04,24584,360657522,0.2161,0.0060
14,2024-05,26597,405513449,0.2299,0.0058
15,2024-06,26172,397425211,0.2315,0.0055
16,2024-07,26432,411944638,0.2198,0.0059
17,2024-08,27831,424523455,0.2142,0.0059
18,2024-09,27116,404860879,0.2064,0.0061
19,2024-10,27640,419514856,0.2000,0.0064
20,2024-11,25658,433059119,0.2030,0.0067
21,2024-12,28847,479840220,0.2002,0.0066
